Size,Bedrooms,Location,Price
1000,1,Karachi,8500000
1050,1,Lahore,8700000
1100,2,Islamabad,9200000
1150,2,Karachi,9800000
1200,2,Lahore,10000000
1250,2,Islamabad,10500000
1300,2,Karachi,10800000
1350,2,Lahore,11200000
1400,3,Islamabad,11800000
1450,3,Karachi,12000000
1500,3,Lahore,12500000
1550,3,Islamabad,13000000
1600,3,Karachi,13500000
1650,3,Lahore,13800000
1700,3,Islamabad,14500000
1750,4,Karachi,15000000
1800,4,Lahore,15500000
1850,4,Islamabad,16000000
1900,4,Karachi,16800000
1950,4,Lahore,17200000
2000,4,Islamabad,18000000
2050,4,Karachi,18500000
2100,5,Lahore,19000000
2150,5,Islamabad,19800000
2200,5,Karachi,20500000
2250,5,Lahore,21000000
2300,5,Islamabad,21800000
2350,5,Karachi,22500000
2400,5,Lahore,23000000
2450,5,Islamabad,23800000
2500,6,Karachi,24500000
2550,6,Lahore,25200000
2600,6,Islamabad,26000000
2650,6,Karachi,26800000
2700,6,Lahore,27500000
2750,6,Islamabad,28200000
2800,6,Karachi,29000000
2850,6,Lahore,29800000
2900,7,Islamabad,30500000
2950,7,Karachi,31200000
3000,7,Lahore,32000000
3050,7,Islamabad,32800000
3100,7,Karachi,33500000
3150,7,Lahore,34200000
3200,7,Islamabad,35000000
3250,8,Karachi,36000000
3300,8,Lahore,36800000
3350,8,Islamabad,37500000
3400,8,Karachi,38200000
3450,8,Lahore,39000000
3500,8,Islamabad,39800000
3550,8,Karachi,40500000
3600,8,Lahore,41500000
3650,9,Islamabad,42500000
3700,9,Karachi,43200000
3750,9,Lahore,44000000
3800,9,Islamabad,45000000
3850,9,Karachi,45800000
3900,9,Lahore,46800000
3950,10,Islamabad,47800000
4000,10,Karachi,49000000
4050,10,Lahore,50000000
4100,10,Islamabad,51200000
4150,10,Karachi,52200000
4200,10,Lahore,53500000
4250,10,Islamabad,54800000
4300,11,Karachi,56000000
4350,11,Lahore,57200000
4400,11,Islamabad,58500000
4450,11,Karachi,59800000
4500,11,Lahore,61000000
4550,11,Islamabad,62500000
4600,12,Karachi,64000000
4650,12,Lahore,65500000
4700,12,Islamabad,67000000
4750,12,Karachi,68500000
4800,12,Lahore,70000000
4850,12,Islamabad,71800000
4900,13,Karachi,73500000
4950,13,Lahore,75000000
5000,13,Islamabad,77000000
5050,13,Karachi,78800000
5100,13,Lahore,80500000
5150,13,Islamabad,82500000
5200,14,Karachi,84500000
5250,14,Lahore,86500000
5300,14,Islamabad,88500000
5350,14,Karachi,90500000
5400,14,Lahore,92500000
5450,14,Islamabad,94500000
5500,15,Karachi,97000000
5550,15,Lahore,99500000
5600,15,Islamabad,102000000
5650,15,Karachi,104500000
5700,15,Lahore,107000000
5750,15,Islamabad,109500000
5800,16,Karachi,112000000
5850,16,Lahore,114500000
5900,16,Islamabad,117000000
5950,16,Karachi,119500000
6000,16,Lahore,122000000
